Title,Release Year,Rating,Genre,Country
Workaholics,2011,8.1,Comedy,USA
Donny!,2015,5.5,Comedy,USA
Numb3rs,2005,6.9,Crime| Drama| Mystery| Thriller,USA
A.L.F.,1987,6.0,Animation| Comedy,USA
The Lost Children,2006,8.3,Adventure| Drama,New Zealand
The Kennedys,2011,7.6,Drama| History| Romance,Canada
Andromeda,2000,6.6,Action| Adventure| Drama| Sci-Fi,Canada
Luar,1992,4.7,Music,Spain
Kris,2013,1.6,Talk-Show,USA
Tales of the City,2019,7.4,Drama,USA
Mr Selfridge,2013,7.7,Drama,UK
Florida Girls,2019,6.3,Comedy,USA
Date Night Live,2017,5.8,Comedy| Reality-TV| Romance,USA
Clique,2017,7.0,Drama| Thriller,UK
Superman: The Animated Series,1996,8.1,Animation| Action| Adventure| Family| Sci-Fi,USA
Calimero,1974,5.8,Animation| Family,Japan
ER,1994,7.7,Drama| Romance,USA
K,2012,7.2,Animation| Action| Drama| Family| Fantasy| Mystery,Japan
The Art of More,2015,5.9,Drama,USA
Lopez,2016,5.4,Comedy,USA
Room of King,2008,5.7,Drama,Japan
Dogs of War,2014,8.9,Reality-TV,USA
Kiko,2014,8.1,Animation| Adventure| Comedy,Indonesia
Kipo and the Age of Wonderbeasts,2020,8.3,Animation| Action| Adventure| Fantasy| Musical,USA
Miss Fisher's Murder Mysteries,2012,8.3,Crime| Drama| Mystery,Australia
Seven & Me,2016,6.5,Animation| Comedy| Family| Fantasy,France
Deutschland 83,2015,8.1,Drama| History| Romance| Thriller,Germany
American Koko,2017,8.5,Comedy,USA
The Bold Type,2017,8.0,Drama,USA
Dogs in the City,2012,7.1,Reality-TV,USA
Adventure Girls,2008,6.0,Action| Adventure| Reality-TV,Singapore
Dark Angel,2000,7.4,Action| Drama| Mystery| Sci-Fi,USA
James & Mike Mondays,2012,7.6,Comedy| Talk-Show,USA
Awesome,2006,8.0,Animation| Comedy,USA
American Princess,2019,6.3,Comedy| Drama,USA
Cardinal,2017,7.7,Crime| Drama| Mystery| Thriller,Canada
Dead Like Me,2003,8.1,Comedy| Drama| Fantasy,Canada
Quantum Leaps,1998,6.0,Documentary,UK
The Awesomes,2013,7.3,Animation| Action| Comedy,USA
Southland,2009,8.4,Crime| Drama| Thriller,USA
Dogs & Me,2012,9.1,Comedy,USA
Car S.O.S.,2013,8.1,Reality-TV,UK
Marrón Glacé,1993,7.5,Drama,Chile
Jelena,2004,4.6,Drama| Romance,Federal Republic of Yugoslavia
Looney Tunes Cartoons,2019,8.2,Animation| Short| Adventure| Comedy| Family,USA
Malcolm in the Middle,2000,8.0,Comedy| Family,USA
Cult,2013,6.1,Drama| Horror| Mystery| Sci-Fi| Thriller,USA
L.A. Hair,2012,6.2,Reality-TV,USA
Malcolm & Eddie,1996,6.6,Comedy,USA
Hustle & Soul,2017,7.1,Reality-TV,USA
